,spp3-Tanh,converge_cnt,total_time,no_op
la21,1098.0,3494.0,934.4742712974548,0.0
la22,977.0,3824.0,1024.1974551677704,0.0
la23,1058.0,4284.0,1144.3622469902039,0.0
la24,1022.0,3769.0,1013.6855504512787,0.0
la25,1084.0,2149.0,579.0891711711884,0.0
la26,1246.0,8549.0,3601.2972016334534,0.0
la27,1376.0,8614.0,3602.008321762085,0.0
la28,1297.0,8614.0,3601.3400540351868,0.0
la29,1292.0,8579.0,3601.6931438446045,0.0
la30,1444.0,3159.0,1327.5466191768646,0.0
la31,1784.0,4364.0,3601.961426258087,0.0
la32,1850.0,4364.0,3603.192102909088,0.0
la33,1719.0,4359.0,3602.603719472885,0.0
la34,1753.0,4359.0,3601.344043970108,0.0
la35,1898.0,4364.0,3602.8819437026978,0.0
la36,1353.0,7139.0,3527.3209302425385,0.0
la37,1521.0,6819.0,3360.4140503406525,0.0
la38,1309.0,4794.0,2362.879331111908,0.0
la39,1324.0,4999.0,2474.5887145996094,0.0
la40,1311.0,7219.0,3561.1993775367737,0.0
ta21,1825.0,2764.0,3604.3470158576965,0.0
ta22,1863.0,2744.0,3604.8307576179504,0.0
ta31,1989.0,2244.0,3604.376851081848,0.0
ta32,2096.0,2239.0,3600.3477387428284,0.0
ta41,2450.0,1349.0,3610.85565328598,0.0
ta42,2359.0,1344.0,3607.519570350647,0.0
ta51,3157.0,894.0,3616.0308203697205,0.0
ta52,2976.0,894.0,3613.6242525577545,0.0
