,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,667.0,620.0,25.82395577430725,666.0
la06,926.0,338.0,19.040091514587402,926.0
la11,1222.0,617.0,44.616705894470215,1222.0
la16,1000.0,1625.0,109.42343282699585,1000.0
la21,1184.0,3050.0,291.4736804962158,1156.0
la22,1003.0,2003.0,192.3686728477478,979.0
la23,1045.0,2303.0,220.77471137046814,1032.0
la24,1035.0,1346.0,128.5502905845642,1022.0
la25,1055.0,2531.0,245.385906457901,1055.0
la26,1282.0,4196.0,530.9493896961212,1264.0
la27,1334.0,4946.0,623.6874344348907,1327.0
la28,1277.0,3521.0,442.5238149166107,1273.0
la29,1257.0,2300.0,289.168842792511,1257.0
la30,1356.0,3416.0,434.2250030040741,1356.0
la31,1784.0,4946.0,945.6376299858093,1784.0
la32,1850.0,5375.0,1033.860743522644,1850.0
la33,1719.0,2459.0,469.47176456451416,1719.0
la34,1729.0,6485.0,1228.9211778640747,1721.0
la35,1888.0,2696.0,510.4212763309479,1888.0
la36,1367.0,2333.0,314.38442301750183,1367.0
la37,1528.0,2792.0,376.3268084526062,1514.0
la38,1351.0,3014.0,408.57660937309265,1335.0
la39,1356.0,2141.0,291.22534465789795,1345.0
la40,1316.0,2012.0,268.27371072769165,1313.0
ta21,1821.0,4430.0,1033.6961841583252,1804.0
ta22,1765.0,6260.0,1455.708839893341,1748.0
ta31,1946.0,13025.0,3600.7168793678284,1935.0
ta32,2041.0,13019.0,3600.383279800415,1979.0
ta41,2297.0,9788.0,3601.0549232959747,2285.0
ta42,2195.0,9863.0,3600.0688214302063,2186.0
ta51,3028.0,6443.0,3601.178453207016,2940.0
ta52,2915.0,6437.0,3601.1076424121857,2892.0
ta61,3160.0,4763.0,3601.765298604965,3116.0
ta62,3263.0,4703.0,3600.8672852516174,3217.0
ta71,5672.0,1775.0,3601.9254565238953,5645.0
ta72,5303.0,1766.0,3605.9317438602448,5303.0
