,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,1343.0,56.58383107185364,666.0
la06,926.0,389.0,22.01379919052124,926.0
la11,1222.0,185.0,13.454816818237305,1222.0
la16,1055.0,617.0,41.8085663318634,1017.0
la21,1151.0,2570.0,247.68791723251343,1122.0
la22,976.0,1472.0,142.63177156448364,975.0
la23,1038.0,1655.0,160.30827260017395,1038.0
la24,1007.0,1706.0,164.56483840942383,1007.0
la25,1074.0,2363.0,229.2111418247223,1061.0
la26,1281.0,3077.0,391.0245018005371,1270.0
la27,1337.0,1295.0,164.93202781677246,1300.0
la28,1334.0,1631.0,205.13153529167175,1332.0
la29,1244.0,3773.0,477.7384555339813,1241.0
la30,1381.0,2585.0,327.2719657421112,1381.0
la31,1784.0,3452.0,656.4259006977081,1784.0
la32,1850.0,3821.0,738.717874288559,1850.0
la33,1719.0,4574.0,886.5417642593384,1719.0
la34,1749.0,2630.0,508.007696390152,1735.0
la35,1898.0,1622.0,312.04368233680725,1898.0
la36,1392.0,3176.0,427.47006392478943,1382.0
la37,1520.0,1700.0,228.5968017578125,1502.0
la38,1351.0,1106.0,148.9268090724945,1337.0
la39,1352.0,2318.0,314.4671800136566,1352.0
la40,1322.0,926.0,125.35782790184021,1307.0
ta21,1848.0,3536.0,814.7625522613525,1837.0
ta22,1804.0,2528.0,591.2381927967072,1791.0
ta31,1969.0,5942.0,1631.1846678256989,1950.0
ta32,2028.0,10844.0,3065.6159002780914,2022.0
ta41,2305.0,9890.0,3600.6728031635284,2297.0
ta42,2215.0,7106.0,2614.1684424877167,2215.0
ta51,3012.0,6422.0,3600.9021923542023,3012.0
ta52,2938.0,6344.0,3600.1403572559357,2924.0
ta61,3122.0,4721.0,3601.303968191147,3096.0
ta62,3206.0,4772.0,3602.131882429123,3178.0
ta71,5641.0,1796.0,3605.5028915405273,5574.0
ta72,5311.0,1778.0,3601.095674276352,5239.0
