,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,668.0,521.0,21.811646223068237,666.0
la06,926.0,200.0,11.34865689277649,926.0
la11,1222.0,644.0,46.43484711647034,1222.0
la16,1010.0,545.0,36.499409675598145,1008.0
la21,1156.0,1262.0,122.13344955444336,1144.0
la22,987.0,1412.0,136.42823004722595,986.0
la23,1058.0,1346.0,128.71083068847656,1039.0
la24,1042.0,812.0,77.52771258354187,1027.0
la25,1056.0,2081.0,201.56204652786255,1056.0
la26,1254.0,2717.0,343.8077540397644,1243.0
la27,1380.0,1637.0,208.57333254814148,1380.0
la28,1349.0,2039.0,256.48921823501587,1333.0
la29,1287.0,2087.0,266.33689045906067,1278.0
la30,1406.0,2234.0,285.60212445259094,1388.0
la31,1784.0,2948.0,569.5459644794464,1784.0
la32,1850.0,1832.0,355.68497490882874,1850.0
la33,1719.0,3239.0,622.357362985611,1719.0
la34,1760.0,4286.0,833.1697733402252,1760.0
la35,1898.0,3476.0,675.8937749862671,1888.0
la36,1318.0,1079.0,144.73318338394165,1318.0
la37,1530.0,2180.0,297.62156987190247,1522.0
la38,1345.0,1208.0,163.36242508888245,1345.0
la39,1361.0,2132.0,287.4167878627777,1352.0
la40,1338.0,1460.0,195.6899380683899,1305.0
ta21,1837.0,2897.0,677.1121342182159,1818.0
ta22,1773.0,2960.0,687.273845911026,1772.0
ta31,2003.0,7019.0,1981.9815518856049,1995.0
ta32,2039.0,8315.0,2348.589101076126,2026.0
ta41,2333.0,9233.0,3379.4576942920685,2320.0
ta42,2166.0,9770.0,3600.6617391109467,2161.0
ta51,3139.0,6281.0,3601.0797169208527,3075.0
ta52,2918.0,6311.0,3600.303791999817,2853.0
ta61,3189.0,4679.0,3600.0394988059998,3119.0
ta62,3244.0,4679.0,3602.165813446045,3221.0
ta71,5745.0,1694.0,3601.060541152954,5690.0
ta72,5419.0,1718.0,3605.135534286499,5370.0
