,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,653.0,32.07331705093384,666.0
la06,926.0,140.0,9.097696304321289,926.0
la11,1222.0,299.0,24.347957372665405,1222.0
la16,1033.0,605.0,46.2614164352417,1002.0
la21,1176.0,1292.0,137.9095847606659,1166.0
la22,976.0,1580.0,171.62252521514893,975.0
la23,1038.0,1364.0,146.66711711883545,1032.0
la24,1027.0,1805.0,200.35265588760376,1016.0
la25,1062.0,1877.0,210.36091113090515,1050.0
la26,1308.0,2285.0,341.79571628570557,1304.0
la27,1371.0,1880.0,272.9276714324951,1365.0
la28,1346.0,2066.0,301.84431648254395,1344.0
la29,1300.0,1769.0,254.93168902397156,1300.0
la30,1367.0,2132.0,315.1408796310425,1367.0
la31,1784.0,2501.0,567.3655440807343,1784.0
la32,1850.0,2660.0,607.8512876033783,1850.0
la33,1719.0,2498.0,565.7476670742035,1719.0
la34,1765.0,3704.0,862.8434119224548,1755.0
la35,1898.0,1955.0,429.9086871147156,1897.0
la36,1337.0,2135.0,337.6812424659729,1337.0
la37,1529.0,1700.0,258.7911424636841,1515.0
la38,1367.0,1625.0,246.09209322929382,1315.0
la39,1359.0,1700.0,258.77717781066895,1359.0
la40,1298.0,1619.0,244.53520846366882,1292.0
ta21,1857.0,1937.0,508.6142098903656,1846.0
ta22,1788.0,2324.0,630.8484137058258,1788.0
ta31,2029.0,4994.0,1721.6553435325623,1995.0
ta32,2034.0,4133.0,1409.5543859004974,2019.0
ta41,2341.0,3278.0,1419.9729888439178,2338.0
ta42,2186.0,3515.0,1553.8105301856995,2179.0
ta51,3103.0,5255.0,3600.7565829753876,3071.0
ta52,3022.0,5273.0,3600.7545878887177,3009.0
ta61,3091.0,4085.0,3600.0804166793823,3091.0
ta62,3283.0,4049.0,3602.701730489731,3219.0
ta71,5795.0,1658.0,3604.3481664657593,5752.0
ta72,5440.0,1640.0,3602.353664159775,5374.0
