,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,404.0,16.95948338508606,666.0
la06,926.0,272.0,15.30193829536438,926.0
la11,1222.0,659.0,47.949350357055664,1222.0
la16,1041.0,1001.0,67.54876351356506,1027.0
la21,1168.0,2345.0,227.35499501228333,1162.0
la22,986.0,1469.0,142.8766553401947,986.0
la23,1044.0,1340.0,129.84861016273499,1040.0
la24,1035.0,1310.0,126.3589518070221,1019.0
la25,1068.0,1715.0,166.66782188415527,1055.0
la26,1277.0,2609.0,332.7194242477417,1277.0
la27,1320.0,3797.0,482.8248965740204,1311.0
la28,1296.0,2678.0,338.2337543964386,1290.0
la29,1264.0,2651.0,339.4296820163727,1264.0
la30,1402.0,1463.0,186.3691873550415,1402.0
la31,1784.0,3434.0,670.2056393623352,1784.0
la32,1850.0,917.0,178.1861870288849,1850.0
la33,1719.0,4760.0,914.2803716659546,1719.0
la34,1722.0,4658.0,887.2011482715607,1721.0
la35,1888.0,3047.0,579.268899679184,1888.0
la36,1368.0,1886.0,255.98466777801514,1359.0
la37,1520.0,2042.0,272.8913607597351,1520.0
la38,1345.0,1139.0,153.80565118789673,1341.0
la39,1354.0,1496.0,200.57325387001038,1349.0
la40,1322.0,1904.0,255.1628999710083,1307.0
ta21,1878.0,2333.0,533.9056103229523,1858.0
ta22,1794.0,1439.0,334.4762887954712,1771.0
ta31,1967.0,8645.0,2472.7917408943176,1964.0
ta32,2037.0,7328.0,2032.7918462753296,2027.0
ta41,2294.0,9869.0,3600.4773631095886,2286.0
ta42,2186.0,8690.0,3206.893796443939,2184.0
ta51,2941.0,6491.0,3601.6212689876556,2870.0
ta52,2961.0,6368.0,3601.2263255119324,2886.0
ta61,3175.0,4754.0,3601.9563748836517,3101.0
ta62,3225.0,4715.0,3601.4347672462463,3183.0
ta71,5752.0,1733.0,3601.034931898117,5727.0
ta72,5357.0,1727.0,3601.4772567749023,5329.0
