,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,494.0,20.622827768325806,666.0
la06,926.0,107.0,6.049823522567749,926.0
la11,1222.0,773.0,55.584383487701416,1222.0
la16,1019.0,1070.0,71.80800557136536,1019.0
la21,1156.0,2009.0,192.41952300071716,1154.0
la22,967.0,1736.0,167.0663092136383,967.0
la23,1032.0,1406.0,134.63801980018616,1032.0
la24,1036.0,1568.0,149.84236240386963,1024.0
la25,1055.0,2195.0,211.64814686775208,1051.0
la26,1261.0,3485.0,437.2718253135681,1254.0
la27,1342.0,1922.0,241.95108938217163,1330.0
la28,1287.0,3488.0,441.62618255615234,1261.0
la29,1283.0,1394.0,177.57424974441528,1269.0
la30,1355.0,3359.0,422.7237219810486,1355.0
la31,1784.0,5510.0,1056.2439210414886,1784.0
la32,1850.0,2735.0,521.3330998420715,1850.0
la33,1719.0,2813.0,532.1511759757996,1719.0
la34,1721.0,6089.0,1160.6758453845978,1721.0
la35,1898.0,2546.0,491.5935938358307,1888.0
la36,1349.0,1994.0,268.854159116745,1343.0
la37,1522.0,1592.0,212.9207103252411,1502.0
la38,1345.0,1079.0,145.57872939109802,1345.0
la39,1370.0,2348.0,315.9382348060608,1359.0
la40,1345.0,1202.0,161.38250875473022,1320.0
ta21,1865.0,3476.0,808.8583383560181,1841.0
ta22,1754.0,3239.0,739.1357567310333,1754.0
ta31,1949.0,12968.0,3600.590477705002,1920.0
ta32,1985.0,12371.0,3400.639942407608,1983.0
ta41,2312.0,9875.0,3600.539229631424,2290.0
ta42,2209.0,9782.0,3600.708212375641,2209.0
ta51,3024.0,6404.0,3600.492290019989,2953.0
ta52,2874.0,6428.0,3600.2539241313934,2854.0
ta61,3148.0,4802.0,3600.5079152584076,3112.0
ta62,3270.0,4787.0,3601.626257419586,3149.0
ta71,5680.0,1766.0,3603.836313724518,5657.0
ta72,5364.0,1760.0,3602.900870323181,5313.0
