,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,902.0,37.29927182197571,666.0
la06,926.0,53.0,2.994993209838867,926.0
la11,1222.0,368.0,26.42135524749756,1222.0
la16,1046.0,1061.0,71.159738779068,1010.0
la21,1139.0,3203.0,307.6992976665497,1139.0
la22,987.0,731.0,69.98787379264832,986.0
la23,1041.0,932.0,89.33314728736877,1041.0
la24,1027.0,1742.0,167.8282732963562,1013.0
la25,1063.0,1577.0,151.445077419281,1062.0
la26,1295.0,3719.0,467.1030972003937,1291.0
la27,1364.0,4322.0,540.2016513347626,1349.0
la28,1344.0,3155.0,397.16409492492676,1344.0
la29,1325.0,1376.0,174.62809205055237,1310.0
la30,1387.0,2063.0,257.96726727485657,1365.0
la31,1784.0,3602.0,695.6031513214111,1784.0
la32,1850.0,998.0,190.91355228424072,1850.0
la33,1719.0,3146.0,599.635739326477,1719.0
la34,1721.0,6413.0,1213.9113397598267,1721.0
la35,1888.0,3293.0,632.8180215358734,1888.0
la36,1375.0,2438.0,330.8623766899109,1336.0
la37,1480.0,1706.0,229.34479689598083,1480.0
la38,1344.0,1538.0,207.72659730911255,1344.0
la39,1360.0,2519.0,338.5168993473053,1352.0
la40,1321.0,1244.0,167.03838539123535,1312.0
ta21,1811.0,4043.0,944.8267979621887,1807.0
ta22,1778.0,5906.0,1368.1708943843842,1774.0
ta31,1934.0,8273.0,2259.147871732712,1916.0
ta32,2030.0,5642.0,1571.1523249149323,2025.0
ta41,2326.0,9785.0,3600.468028306961,2307.0
ta42,2143.0,9797.0,3600.428884267807,2142.0
ta51,2855.0,6512.0,3600.6678166389465,2855.0
ta52,2910.0,6455.0,3600.3267316818237,2910.0
ta61,3143.0,4742.0,3602.219668865204,3106.0
ta62,3202.0,4790.0,3601.8087680339813,3154.0
ta71,5591.0,1748.0,3605.03613948822,5564.0
ta72,5283.0,1793.0,3604.2771685123444,5255.0
