,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,446.0,21.89645481109619,666.0
la06,926.0,287.0,18.622209787368774,926.0
la11,1222.0,566.0,46.12467432022095,1222.0
la16,1054.0,272.0,20.802382230758667,1027.0
la21,1170.0,1838.0,204.72163152694702,1170.0
la22,1021.0,2210.0,254.68404364585876,1012.0
la23,1044.0,1055.0,113.45964002609253,1038.0
la24,1008.0,1778.0,197.53584551811218,1008.0
la25,1071.0,1637.0,179.29262161254883,1071.0
la26,1308.0,2168.0,319.3940284252167,1302.0
la27,1354.0,2210.0,325.3511018753052,1340.0
la28,1287.0,3053.0,466.8886697292328,1283.0
la29,1270.0,2279.0,339.45439434051514,1262.0
la30,1402.0,2060.0,302.5470724105835,1401.0
la31,1784.0,3212.0,741.3548243045807,1784.0
la32,1850.0,1535.0,322.2583718299866,1850.0
la33,1719.0,2417.0,544.7774164676666,1719.0
la34,1760.0,3620.0,845.3168585300446,1752.0
la35,1888.0,2276.0,506.2544176578522,1888.0
la36,1371.0,1820.0,280.03227162361145,1344.0
la37,1527.0,1742.0,266.8505172729492,1527.0
la38,1345.0,1277.0,190.0109624862671,1336.0
la39,1370.0,1637.0,247.59998655319214,1363.0
la40,1304.0,1337.0,196.81876635551453,1300.0
ta21,1885.0,1760.0,456.5792019367218,1836.0
ta22,1819.0,1616.0,414.2184958457947,1792.0
ta31,1956.0,2792.0,914.5776743888855,1956.0
ta32,2034.0,3938.0,1320.5742647647858,2007.0
ta41,2358.0,2855.0,1230.8163075447083,2345.0
ta42,2202.0,5087.0,2307.11660528183,2202.0
ta51,3084.0,5357.0,3600.4563834667206,3071.0
ta52,2931.0,5351.0,3601.223332643509,2897.0
ta61,3170.0,4007.0,3600.4444167613983,3151.0
ta62,3162.0,4037.0,3600.2309873104095,3155.0
ta71,5775.0,1622.0,3602.1887521743774,5759.0
ta72,5428.0,1643.0,3600.9301166534424,5385.0
