,spp3-Tanh,converge_cnt,total_time,no_op
la21,1138.0,2409.0,653.637818813324,0.0
la22,986.0,5049.0,1349.4889929294586,0.0
la23,1035.0,3679.0,984.1863963603973,0.0
la24,982.0,3229.0,864.8942506313324,0.0
la25,1069.0,3559.0,950.9262971878052,0.0
la26,1256.0,8629.0,3601.5325722694397,0.0
la27,1361.0,8594.0,3600.5023260116577,0.0
la28,1296.0,7289.0,3057.199503183365,0.0
la29,1261.0,8519.0,3601.7170786857605,0.0
la30,1437.0,8584.0,3600.104389667511,0.0
la31,1784.0,4359.0,3601.204449892044,0.0
la32,1850.0,4369.0,3603.3377561569214,0.0
la33,1719.0,4364.0,3600.786565065384,0.0
la34,1731.0,4364.0,3601.734033346176,0.0
la35,1939.0,4379.0,3603.36367893219,0.0
la36,1378.0,4899.0,2415.3720247745514,0.0
la37,1504.0,7299.0,3602.4860241413116,0.0
la38,1331.0,5774.0,2875.636797428131,0.0
la39,1331.0,5834.0,2898.1715643405914,0.0
la40,1319.0,5229.0,2570.6090104579926,0.0
ta21,1888.0,2764.0,3601.965415239334,0.0
ta22,1867.0,2759.0,3601.7998576164246,0.0
ta31,2055.0,2239.0,3605.6725075244904,0.0
ta32,2108.0,2239.0,3606.9471118450165,0.0
ta41,2323.0,1344.0,3606.2499635219574,0.0
ta42,2309.0,1344.0,3609.283854007721,0.0
ta51,3321.0,894.0,3616.2991020679474,0.0
ta52,3147.0,889.0,3604.922511816025,0.0
