,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,509.0,21.427708625793457,666.0
la06,926.0,362.0,20.512156009674072,926.0
la11,1222.0,875.0,63.325684785842896,1222.0
la16,1039.0,1271.0,85.20019817352295,1039.0
la21,1127.0,1994.0,192.01560378074646,1127.0
la22,994.0,2027.0,196.34901809692383,986.0
la23,1065.0,2510.0,240.25761795043945,1057.0
la24,1036.0,1433.0,137.6240315437317,1015.0
la25,1073.0,1565.0,150.64920592308044,1057.0
la26,1250.0,4229.0,536.4556674957275,1250.0
la27,1336.0,5078.0,648.2677125930786,1327.0
la28,1350.0,3725.0,469.5834655761719,1294.0
la29,1313.0,3485.0,444.12952184677124,1301.0
la30,1388.0,5606.0,703.1121690273285,1382.0
la31,1784.0,6554.0,1273.153340101242,1784.0
la32,1850.0,10442.0,2034.6486151218414,1850.0
la33,1719.0,3107.0,600.021413564682,1719.0
la34,1722.0,8228.0,1568.4232609272003,1721.0
la35,1898.0,4550.0,877.7205936908722,1898.0
la36,1365.0,2498.0,334.8988106250763,1364.0
la37,1499.0,2777.0,370.591267824173,1494.0
la38,1315.0,2177.0,294.4514515399933,1295.0
la39,1300.0,1952.0,259.5163106918335,1297.0
la40,1315.0,2816.0,376.24099230766296,1305.0
ta21,1830.0,5783.0,1351.8095049858093,1818.0
ta22,1784.0,9641.0,2226.4557943344116,1773.0
ta31,1945.0,11714.0,3251.4628171920776,1933.0
ta32,1995.0,12092.0,3336.9545423984528,1995.0
ta41,2331.0,9812.0,3600.627277612686,2309.0
ta42,2218.0,9722.0,3600.9540526866913,2193.0
ta51,3033.0,6473.0,3600.693749666214,2901.0
ta52,2992.0,6275.0,3601.487627029419,2967.0
ta61,3188.0,4808.0,3602.2316377162933,3104.0
ta62,3305.0,4802.0,3600.736634016037,3279.0
ta71,5732.0,1769.0,3603.2668697834015,5656.0
ta72,5314.0,1772.0,3604.201963186264,5263.0
