,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,551.0,22.9103786945343,666.0
la06,926.0,308.0,17.447073221206665,926.0
la11,1222.0,479.0,34.6976752281189,1222.0
la16,1049.0,1055.0,70.70981407165527,1017.0
la21,1159.0,1505.0,143.3614058494568,1157.0
la22,974.0,1757.0,168.78437876701355,967.0
la23,1075.0,1595.0,153.6042399406433,1055.0
la24,1036.0,1331.0,127.39267611503601,1024.0
la25,1080.0,968.0,93.36012625694275,1069.0
la26,1302.0,2729.0,344.4354486465454,1295.0
la27,1380.0,1946.0,247.11710619926453,1371.0
la28,1290.0,3086.0,385.9655454158783,1283.0
la29,1289.0,2162.0,272.21301198005676,1264.0
la30,1355.0,2579.0,325.4421274662018,1355.0
la31,1784.0,2312.0,446.8157250881195,1784.0
la32,1850.0,1547.0,296.533091545105,1850.0
la33,1719.0,4976.0,953.1892383098602,1719.0
la34,1721.0,6191.0,1178.0199406147003,1721.0
la35,1888.0,2798.0,537.9641327857971,1888.0
la36,1382.0,1400.0,190.62974214553833,1372.0
la37,1518.0,2051.0,276.9681873321533,1518.0
la38,1314.0,1940.0,262.47310090065,1304.0
la39,1382.0,3452.0,465.74104928970337,1357.0
la40,1327.0,1361.0,183.3622875213623,1306.0
ta21,1847.0,2486.0,574.8784399032593,1829.0
ta22,1774.0,4769.0,1098.12850522995,1763.0
ta31,1981.0,5237.0,1454.813374042511,1949.0
ta32,2008.0,10271.0,2870.6797301769257,2006.0
ta41,2350.0,9896.0,3600.2152450084686,2334.0
ta42,2213.0,9728.0,3601.0594806671143,2205.0
ta51,3074.0,6314.0,3600.276577234268,3067.0
ta52,2977.0,6359.0,3600.2938191890717,2919.0
ta61,3199.0,4718.0,3602.306437253952,3133.0
ta62,3274.0,4679.0,3600.7097074985504,3215.0
ta71,5840.0,1721.0,3606.0424485206604,5789.0
ta72,5358.0,1745.0,3601.734966278076,5311.0
