,simple-rnn-per,converge_cnt,total_time,min_make_span
la01,667.0,740.0,53.90667653083801,666.0
la06,926.0,308.0,27.68095827102661,926.0
la11,1222.0,308.0,52.11779594421387,1222.0
la16,1029.0,335.0,51.15628433227539,1002.0
la21,1131.0,1571.0,307.23544788360596,1131.0
la22,974.0,1676.0,327.1496090888977,967.0
la23,1038.0,995.0,190.04350328445435,1038.0
la24,1027.0,1604.0,312.44996976852417,1014.0
la25,1074.0,1583.0,308.87733268737793,1068.0
la26,1301.0,1718.0,437.56086468696594,1262.0
la27,1369.0,1763.0,452.6564350128174,1363.0
la28,1333.0,1655.0,402.3534870147705,1329.0
la29,1291.0,1982.0,516.6673951148987,1283.0
la30,1411.0,1697.0,423.53040409088135,1401.0
la31,1812.0,8831.0,3600.8945376873016,1784.0
la32,1850.0,2174.0,757.1946558952332,1850.0
la33,1719.0,2456.0,885.097021818161,1719.0
la34,1748.0,2273.0,817.9481890201569,1721.0
la35,1898.0,8762.0,3600.972270011902,1888.0
la36,1381.0,1793.0,469.0729887485504,1368.0
la37,1533.0,1907.0,509.8680694103241,1528.0
la38,1357.0,11519.0,3600.3953895568848,1311.0
la39,1353.0,1631.0,423.6895079612732,1352.0
la40,1305.0,1823.0,472.9444966316223,1303.0
ta21,1933.0,7430.0,3601.312740087509,1850.0
ta22,1801.0,7454.0,3601.119361639023,1767.0
ta31,1950.0,2159.0,1007.0469079017639,1950.0
ta32,2109.0,6755.0,3600.4954681396484,2062.0
ta41,2464.0,5291.0,3601.3687002658844,2390.0
ta42,2374.0,3644.0,3600.8994722366333,2280.0
ta51,3010.0,2063.0,3605.671820163727,2986.0
ta52,3076.0,2030.0,3605.453401327133,3031.0
ta61,3202.0,1934.0,3606.905157327652,3165.0
ta62,3401.0,1592.0,3603.404132604599,3297.0
ta71,5767.0,560.0,3609.360741376877,5759.0
ta72,5305.0,560.0,3611.186412334442,5305.0
