,make span-simple-per,converged_iterations,total_time,min
la01,666.0,1613.0,79.60479068756104,666.0
la06,926.0,398.0,24.33994746208191,926.0
la11,1222.0,665.0,75.48449492454529,1222.0
la16,1048.0,887.0,93.11722731590271,1036.0
la21,1156.0,2174.0,323.3126554489136,1138.0
la22,982.0,1841.0,263.6719217300415,967.0
la23,1058.0,1517.0,207.21284246444702,1054.0
la24,1035.0,1640.0,230.45380187034607,1016.0
la25,1029.0,1901.0,274.01574325561523,1028.0
la26,1299.0,2111.0,384.4056875705719,1288.0
la27,1327.0,2510.0,468.04679107666016,1302.0
la28,1296.0,2117.0,383.10933780670166,1283.0
la29,1308.0,1790.0,313.2816619873047,1291.0
la30,1437.0,2132.0,383.4214906692505,1429.0
la31,1784.0,2246.0,577.0627112388611,1784.0
la32,1850.0,2213.0,568.665491104126,1850.0
la33,1725.0,2714.0,717.2656672000885,1719.0
la34,1721.0,2846.0,758.1101362705231,1721.0
la35,1898.0,2252.0,577.2484226226807,1888.0
la36,1394.0,1763.0,325.8765113353729,1362.0
la37,1514.0,1691.0,305.30913949012756,1504.0
la38,1345.0,1703.0,314.7032833099365,1329.0
la39,1352.0,1856.0,343.1931948661804,1352.0
la40,1327.0,1100.0,197.20271944999695,1307.0
ta21,1835.0,1880.0,569.4072961807251,1830.0
ta22,1748.0,2108.0,646.3128566741943,1748.0
ta31,1979.0,4229.0,1708.3680663108826,1963.0
ta32,2003.0,2435.0,912.2396841049194,1995.0
ta41,2394.0,2939.0,1467.7974541187286,2376.0
ta42,2265.0,2471.0,1204.992752313614,2220.0
ta51,3083.0,2732.0,2302.2320716381073,2901.0
ta52,3056.0,4175.0,3603.1141924858093,2907.0
ta61,3247.0,2975.0,3601.679715156555,3147.0
ta62,3209.0,2888.0,3601.8900396823883,3191.0
ta71,5697.0,1277.0,3602.2428419589996,5660.0
ta72,5314.0,1250.0,3607.4191687107086,5295.0
