,2simple-big,converged_iterations,total_time
la01,666.0,932.0,44.42245864868164
la06,926.0,344.0,20.83320951461792
la11,1222.0,158.0,15.257318019866943
la16,996.0,911.0,60.90637707710266
la21,1166.0,1769.0,248.14005398750305
la22,968.0,1838.0,260.71680450439453
la23,1038.0,2033.0,291.5290253162384
la24,1035.0,1073.0,144.14813780784607
la25,1055.0,1859.0,263.36332964897156
la26,1302.0,1976.0,350.60898900032043
la27,1368.0,2666.0,493.79712772369385
la28,1296.0,2990.0,561.2639579772949
la29,1284.0,1889.0,333.1726932525635
la30,1389.0,2294.0,414.5820310115814
la31,1784.0,2111.0,536.4581155776978
la32,1850.0,1922.0,484.9752905368805
la33,1719.0,2177.0,561.8017745018005
la34,1721.0,2603.0,690.4678046703339
la35,1898.0,2138.0,547.9843485355377
la36,1388.0,1355.0,235.3753821849823
la37,1544.0,2375.0,461.21845149993896
la38,1345.0,2483.0,487.20368480682373
la39,1371.0,1862.0,344.96887016296387
la40,1312.0,2432.0,473.3592879772186
ta21,1863.0,1868.0,544.265816450119
ta22,1800.0,2309.0,706.5307195186615
ta31,1955.0,2912.0,1078.5314667224884
ta32,2041.0,2093.0,735.766126871109
ta41,2320.0,3338.0,1596.703078508377
ta42,2231.0,3296.0,1598.7370471954346
ta51,3133.0,5180.0,3601.043914794922
ta52,2904.0,4766.0,3249.874564409256
ta61,3082.0,4058.0,3595.4221515655518
ta62,3153.0,4025.0,3600.2189226150513
ta71,5702.0,1235.0,3605.9999883174896
ta72,5340.0,1223.0,3602.798881292343
