,2-idle-simple-per-6,converged_iterations,total_time,min
la21,1139.0,2192.0,344.5144064426422,1110.0
la23,1047.0,1646.0,230.93492937088013,1034.0
la24,1009.0,2105.0,309.4839823246002,1008.0
la25,1056.0,1922.0,274.03094363212585,1046.0
la36,1368.0,1697.0,307.0975921154022,1351.0
la37,1536.0,4730.0,998.8779366016388,1531.0
la38,1339.0,2561.0,506.3648245334625,1315.0
la39,1295.0,1628.0,288.0468490123749,1288.0
la40,1307.0,1841.0,336.90634202957153,1307.0
