,2-idle-simple-per-6,converged_iterations,total_time,min
la21,1161.0,2708.0,412.9928231239319,1139.0
la23,1040.0,2006.0,288.6636083126068,1038.0
la24,1008.0,2147.0,312.5945417881012,1007.0
la25,1036.0,1742.0,251.45446109771729,1036.0
la36,1379.0,1877.0,355.9762980937958,1379.0
la37,1479.0,1949.0,384.1614673137665,1467.0
la38,1345.0,1313.0,251.80084919929504,1345.0
la39,1361.0,1949.0,373.2272686958313,1360.0
la40,1307.0,1388.0,262.1822946071625,1298.0
