,2-idle-simple-per-9,converged_iterations,total_time,min
la01,666.0,698.0,34.250420331954956,666.0
la06,926.0,713.0,43.599812746047974,926.0
la11,1222.0,269.0,29.653791427612305,1222.0
la16,1027.0,1808.0,129.77419757843018,1018.0
la21,1143.0,2567.0,371.45085883140564,1140.0
la22,985.0,1922.0,264.4728877544403,983.0
la23,1045.0,1574.0,208.40276956558228,1040.0
la24,1019.0,1970.0,271.4050283432007,1017.0
la25,1049.0,1586.0,208.44962239265442,1035.0
la26,1230.0,1973.0,338.55776143074036,1228.0
la27,1328.0,2654.0,476.4158492088318,1328.0
la28,1342.0,2867.0,517.8715605735779,1333.0
la29,1284.0,1841.0,312.97671461105347,1282.0
la30,1367.0,1736.0,291.08065724372864,1367.0
la31,1784.0,2576.0,664.3944647312164,1784.0
la32,1850.0,2174.0,545.9218139648438,1850.0
la33,1719.0,1880.0,455.46968603134155,1719.0
la34,1750.0,2276.0,569.6895344257355,1750.0
la35,1897.0,1919.0,465.9901328086853,1897.0
la36,1385.0,1790.0,315.23219537734985,1367.0
la37,1532.0,1823.0,325.0124626159668,1515.0
la38,1331.0,1913.0,345.9368944168091,1314.0
la39,1376.0,1901.0,340.8838949203491,1360.0
la40,1325.0,1838.0,325.3231945037842,1306.0
ta21,1861.0,1622.0,446.60265278816223,1860.0
ta22,1763.0,1967.0,570.4038925170898,1763.0
ta31,1955.0,2321.0,813.5593357086182,1925.0
ta32,2073.0,2687.0,958.5702037811279,2048.0
ta41,2317.0,3233.0,1520.9218635559082,2317.0
ta42,2211.0,2570.0,1168.4340660572052,2211.0
ta51,3068.0,3572.0,2342.7968094348907,3000.0
ta52,2921.0,3551.0,2316.937044620514,2893.0
ta61,3099.0,4085.0,3600.0435094833374,3092.0
ta62,3163.0,3662.0,3173.517092704773,3155.0
ta71,5664.0,1274.0,3601.6002707481384,5640.0
ta72,5271.0,1280.0,3601.8743805885315,5256.0
