,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
01a,3037,2869,3581,2872,2859,3056
02a,2638,2409,2657,2477,2405,2443
03a,2697,2269,2660,2292,2266,2413
04a,2947,2840,3526,2789,2803,3059
05a,2801,2484,2685,2486,2410,2447
06a,2780,2290,2396,2264,2294,2346
07a,2982,2813,3300,2790,2759,2971
08a,2530,2276,2953,2249,2268,2317
09a,2630,2099,2434,2115,2116,2179
10a,2791,2782,2952,2746,2714,2943
11a,2615,2233,2420,2196,2194,2346
12a,2431,2088,2267,2116,2085,2152
13a,3206,2637,3126,2729,2677,2871
14a,2623,2258,2544,2280,2252,2448
15a,2641,2186,2567,2217,2205,2334
16a,3482,2595,2954,2619,2684,2861
17a,2491,2255,2714,2241,2244,2405
18a,2674,2200,2331,2203,2199,2313
