,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
abz5,1352,1369,1370,1336,1334,1467
abz6,1097,987,1071,1031,989,1045
abz7,849,769,900,775,746,803
abz8,929,825,879,810,782,877
abz9,887,857,914,899,860,946
car1,7798,8938,9298,9298,8243,9298
car2,7741,9163,8665,8665,9350,8665
car3,8237,9283,10122,10122,8677,10122
car4,8423,9872,9991,9991,9645,9991
car5,9313,9997,9311,9311,9360,9311
car6,9718,10710,11579,11579,10534,11579
car7,7191,8511,8170,8170,8511,8170
car8,9865,9219,9963,9963,9174,9963
la01,751,735,830,763,671,772
la02,821,817,844,812,835,830
la03,672,696,773,726,696,755
la04,711,758,839,706,696,695
la05,610,593,677,593,593,610
la06,1200,926,1078,926,926,926
la07,1034,970,1133,1001,960,1088
la08,942,957,966,925,893,980
la09,1045,1015,1193,951,951,1018
la10,1049,966,1012,958,958,1006
la11,1473,1268,1577,1222,1222,1272
la12,1203,1137,1286,1039,1050,1039
la13,1275,1166,1337,1150,1189,1199
la14,1427,1292,1497,1292,1292,1292
la15,1339,1343,1442,1436,1363,1587
la16,1156,1054,1230,1108,1081,1180
la17,924,846,894,844,845,943
la18,981,970,1128,942,983,1049
la19,940,1013,1046,1088,1000,983
la20,1000,964,1210,1130,984,1272
la21,1324,1264,1417,1251,1230,1265
la22,1180,1079,1294,1198,1060,1312
la23,1162,1185,1314,1268,1155,1354
la24,1203,1101,1356,1149,1085,1141
la25,1449,1166,1383,1209,1112,1283
la26,1498,1435,1479,1411,1386,1372
la27,1784,1442,1860,1566,1413,1644
la28,1610,1487,1670,1477,1468,1474
la29,1556,1337,1607,1437,1352,1540
la30,1792,1534,1814,1565,1577,1648
la31,1951,1931,2148,1836,1903,1918
la32,2165,1875,2360,1984,1850,2110
la33,1901,1875,2221,1811,1766,1873
la34,2070,1935,2212,1853,1825,1925
la35,2118,2118,2462,2064,2009,2142
la36,1799,1510,1676,1492,1396,1516
la37,1655,1588,1725,1606,1584,1873
la38,1404,1421,1932,1455,1387,1475
la39,1534,1500,1534,1540,1495,1532
la40,1476,1440,1778,1358,1400,1531
mt06,88,61,68,59,60,65
mt10,1074,1108,1262,1163,1090,1184
mt20,1267,1501,1488,1601,1454,1645
orb1,1478,1359,1456,1307,1275,1368
orb10,1113,1220,1284,1256,1149,1303
orb2,1175,1047,1157,1047,1033,1007
orb3,1179,1247,1297,1445,1283,1405
orb4,1236,1172,1356,1287,1112,1325
orb5,1152,1173,1116,1050,1030,1155
orb6,1190,1291,1342,1345,1277,1330
orb7,504,483,502,500,473,475
orb8,1107,1180,1139,1278,1137,1225
orb9,1262,1144,1376,1165,1144,1189
